Name,Total Time,Artist,Album,Track Number,Track Count,Year,Genre,Location
"""Che soave zeffiretto"" - ""Piegato è il foglio...""",02:55.066,Academy Of St. Martin In The Fields [Orchestra] And Barbara Hendricks [Soprano] And Lucia Popp [Soprano] And Sir Neville Marriner [Conductor],The # 1 Soprano Album,7,17,2002,Classical,file:///Users/tammyjamieson/Music/iTunes/iTunes%20Media/Music/Compilations/The%20%23%201%20Soprano%20Album/1-07%20_Che%20soave%20zeffiretto_%20-%20_Piegato%20e%CC%80%20il%20foglio..._.m4a
Time Passages,06:40.293,Al Stewart,The Best Of Al Stewart,1,11,1978,Pop/Rock,file:///Users/tammyjamieson/Music/iTunes/iTunes%20Media/Music/Al%20Stewart/The%20Best%20Of%20Al%20Stewart/01%20Time%20Passages.m4a
Running Man,04:16.773,Al Stewart,The Best Of Al Stewart,2,11,1980,Pop/Rock,file:///Users/tammyjamieson/Music/iTunes/iTunes%20Media/Music/Al%20Stewart/The%20Best%20Of%20Al%20Stewart/02%20Running%20Man.m4a
Delia's Gone,02:52.093,Al Stewart,The Best Of Al Stewart,3,11,1976,Pop/Rock,file:///Users/tammyjamieson/Music/iTunes/iTunes%20Media/Music/Al%20Stewart/The%20Best%20Of%20Al%20Stewart/03%20Delia's%20Gone.m4a
Roads To Moscow,07:58.040,Al Stewart,The Best Of Al Stewart,4,11,1974,Pop/Rock,file:///Users/tammyjamieson/Music/iTunes/iTunes%20Media/Music/Al%20Stewart/The%20Best%20Of%20Al%20Stewart/04%20Roads%20To%20Moscow.m4a
Song On The Radio,06:22.400,Al Stewart,The Best Of Al Stewart,5,11,1978,Pop/Rock,file:///Users/tammyjamieson/Music/iTunes/iTunes%20Media/Music/Al%20Stewart/The%20Best%20Of%20Al%20Stewart/05%20Song%20On%20The%20Radio.m4a
Midnight Rocks,03:55.400,Al Stewart,The Best Of Al Stewart,6,11,1980,Pop/Rock,file:///Users/tammyjamieson/Music/iTunes/iTunes%20Media/Music/Al%20Stewart/The%20Best%20Of%20Al%20Stewart/06%20Midnight%20Rocks.m4a
Lord Grenville,05:01,Al Stewart,The Best Of Al Stewart,7,11,1976,Pop/Rock,file:///Users/tammyjamieson/Music/iTunes/iTunes%20Media/Music/Al%20Stewart/The%20Best%20Of%20Al%20Stewart/07%20Lord%20Grenville.m4a
Merlin's Time,02:42.560,Al Stewart,The Best Of Al Stewart,8,11,1980,Pop/Rock,file:///Users/tammyjamieson/Music/iTunes/iTunes%20Media/Music/Al%20Stewart/The%20Best%20Of%20Al%20Stewart/08%20Merlin's%20Time.m4a
Nostradamus Part One: The World Goes To Riyadh; Nostradamus Part Two (Live Versions),13:06.266,Al Stewart,The Best Of Al Stewart,9,11,1981,Pop/Rock,file:///Users/tammyjamieson/Music/iTunes/iTunes%20Media/Music/Al%20Stewart/The%20Best%20Of%20Al%20Stewart/09%20Nostradamus%20Part%20One_%20The%20World%20Goes%20To%20Riyadh%3B%20Nostradamus%20Part%20Two%20(Live%20Versions).m4a
On The Border (Live),04:32.173,Al Stewart,The Best Of Al Stewart,10,11,1981,Pop/Rock,file:///Users/tammyjamieson/Music/iTunes/iTunes%20Media/Music/Al%20Stewart/The%20Best%20Of%20Al%20Stewart/10%20On%20The%20Border%20(Live).m4a
Year Of The Cat,06:43.333,Al Stewart,The Best Of Al Stewart,11,11,1976,Pop/Rock,file:///Users/tammyjamieson/Music/iTunes/iTunes%20Media/Music/Al%20Stewart/The%20Best%20Of%20Al%20Stewart/11%20Year%20Of%20The%20Cat.m4a
Little Bitty,02:39.164,Alan Jackson,"Greatest Hits, Vol. 2",1,,,Country,"file:///Users/tammyjamieson/Music/iTunes/iTunes%20Media/Music/Alan%20Jackson/Greatest%20Hits,%20Vol.%202/01%20Little%20Bitty.mp3"
Everything I Love,03:07.742,Alan Jackson,"Greatest Hits, Vol. 2",2,,,Country,"file:///Users/tammyjamieson/Music/iTunes/iTunes%20Media/Music/Alan%20Jackson/Greatest%20Hits,%20Vol.%202/02%20Everything%20I%20Love.mp3"
Who's Cheatin' Who,04:03.017,Alan Jackson,"Greatest Hits, Vol. 2",3,,,Country,"file:///Users/tammyjamieson/Music/iTunes/iTunes%20Media/Music/Alan%20Jackson/Greatest%20Hits,%20Vol.%202/03%20Who's%20Cheatin'%20Who.mp3"
There Goes,03:56.512,Alan Jackson,"Greatest Hits, Vol. 2",4,,,Country,"file:///Users/tammyjamieson/Music/iTunes/iTunes%20Media/Music/Alan%20Jackson/Greatest%20Hits,%20Vol.%202/04%20There%20Goes.mp3"
I'll Go on Loving You,03:58.733,Alan Jackson,"Greatest Hits, Vol. 2",5,,,Country,"file:///Users/tammyjamieson/Music/iTunes/iTunes%20Media/Music/Alan%20Jackson/Greatest%20Hits,%20Vol.%202/05%20I'll%20Go%20on%20Loving%20You.mp3"
Right on the Money,03:50.765,Alan Jackson,"Greatest Hits, Vol. 2",6,,,Country,"file:///Users/tammyjamieson/Music/iTunes/iTunes%20Media/Music/Alan%20Jackson/Greatest%20Hits,%20Vol.%202/06%20Right%20on%20the%20Money.mp3"
Gone Crazy,03:47.422,Alan Jackson,"Greatest Hits, Vol. 2",7,,,Country,"file:///Users/tammyjamieson/Music/iTunes/iTunes%20Media/Music/Alan%20Jackson/Greatest%20Hits,%20Vol.%202/07%20Gone%20Crazy.mp3"
Little Man,04:28.982,Alan Jackson,"Greatest Hits, Vol. 2",8,,,Country,"file:///Users/tammyjamieson/Music/iTunes/iTunes%20Media/Music/Alan%20Jackson/Greatest%20Hits,%20Vol.%202/08%20Little%20Man.mp3"
Pop a Top,03:05.991,Alan Jackson,"Greatest Hits, Vol. 2",9,,,Country,"file:///Users/tammyjamieson/Music/iTunes/iTunes%20Media/Music/Alan%20Jackson/Greatest%20Hits,%20Vol.%202/09%20Pop%20a%20Top.mp3"
The Blues Man,07:03.941,Alan Jackson,"Greatest Hits, Vol. 2",10,,,Country,"file:///Users/tammyjamieson/Music/iTunes/iTunes%20Media/Music/Alan%20Jackson/Greatest%20Hits,%20Vol.%202/10%20The%20Blues%20Man.mp3"
It Must Be Love,02:52.591,Alan Jackson,"Greatest Hits, Vol. 2",11,,,Country,"file:///Users/tammyjamieson/Music/iTunes/iTunes%20Media/Music/Alan%20Jackson/Greatest%20Hits,%20Vol.%202/11%20It%20Must%20Be%20Love.mp3"
www.memory,02:35.350,Alan Jackson,"Greatest Hits, Vol. 2",12,,,Country,"file:///Users/tammyjamieson/Music/iTunes/iTunes%20Media/Music/Alan%20Jackson/Greatest%20Hits,%20Vol.%202/12%20www.memory.mp3"
When Somebody Loves You,03:28.561,Alan Jackson,"Greatest Hits, Vol. 2",13,,,Country,"file:///Users/tammyjamieson/Music/iTunes/iTunes%20Media/Music/Alan%20Jackson/Greatest%20Hits,%20Vol.%202/13%20When%20Somebody%20Loves%20You.mp3"
Where I Come From,04:00.587,Alan Jackson,"Greatest Hits, Vol. 2",14,,,Country,"file:///Users/tammyjamieson/Music/iTunes/iTunes%20Media/Music/Alan%20Jackson/Greatest%20Hits,%20Vol.%202/14%20Where%20I%20Come%20From.mp3"
Where Were You (When the World Stopped Turning),05:05.475,Alan Jackson,"Greatest Hits, Vol. 2",15,,,Country,"file:///Users/tammyjamieson/Music/iTunes/iTunes%20Media/Music/Alan%20Jackson/Greatest%20Hits,%20Vol.%202/15%20Where%20Were%20You%20(When%20the%20World%20Stopped%20Turning).mp3"
Drive (For Daddy Gene),04:02.938,Alan Jackson,"Greatest Hits, Vol. 2",16,,,Country,"file:///Users/tammyjamieson/Music/iTunes/iTunes%20Media/Music/Alan%20Jackson/Greatest%20Hits,%20Vol.%202/16%20Drive%20(For%20Daddy%20Gene).mp3"
It's Five O'Clock Somewhere,03:52.071,Alan Jackson,"Greatest Hits, Vol. 2",17,,,Country,"file:///Users/tammyjamieson/Music/iTunes/iTunes%20Media/Music/Alan%20Jackson/Greatest%20Hits,%20Vol.%202/17%20It's%20Five%20O'Clock%20Somewhere.mp3"
Remember When,04:30.628,Alan Jackson,"Greatest Hits, Vol. 2",18,,,Country,"file:///Users/tammyjamieson/Music/iTunes/iTunes%20Media/Music/Alan%20Jackson/Greatest%20Hits,%20Vol.%202/18%20Remember%20When.mp3"
Margaritaville,04:15.085,Alan Jackson,Under the Influence,12,,,Country,file:///Users/tammyjamieson/Music/iTunes/iTunes%20Media/Music/Alan%20Jackson/Under%20the%20Influence/12%20Margaritaville.mp3
Practical Magic,03:57.373,Alan Silvestri,Practical Magic Soundtrack,12,13,1998,Pop/Rock,file:///Users/tammyjamieson/Music/iTunes/iTunes%20Media/Music/Compilations/Practical%20Magic%20Soundtrack/12%20Practical%20Magic.m4a
Amas Veritas,02:35.626,Alan Silvestri,Practical Magic Soundtrack,13,13,1998,Pop/Rock,file:///Users/tammyjamieson/Music/iTunes/iTunes%20Media/Music/Compilations/Practical%20Magic%20Soundtrack/13%20Amas%20Veritas.m4a
Crazy (James Michael Mix),03:39.666,Alanis Morissette,The Devil Wears Prada (Music from the Motion Picture),5,,2006,Pop/Rock,file:///Users/tammyjamieson/Music/iTunes/iTunes%20Media/Music/Compilations/The%20Devil%20Wears%20Prada%20(Music%20from%20the%20Motion%20Picture)/05%20Crazy%20(James%20Michael%20Mix).m4p
