Name,Total Time,Artist,Album,Track Number,Track Count,Year,Genre,Location
Makin' Music for Money,04:01.763,Jimmy Buffett,A-1-A,1,,,Rock/Pop,file:///Volumes/Passport3T/iTunes%20Folder/Music/Jimmy%20Buffett/A-1-A/01%20Makin'%20Music%20for%20Money.mp3
Door Number Three,03:07.768,Jimmy Buffett,A-1-A,2,,,Rock/Pop,file:///Volumes/Passport3T/iTunes%20Folder/Music/Jimmy%20Buffett/A-1-A/02%20Door%20Number%20Three.mp3
Dallas,03:26.027,Jimmy Buffett,A-1-A,3,,,Rock/Pop,file:///Volumes/Passport3T/iTunes%20Folder/Music/Jimmy%20Buffett/A-1-A/03%20Dallas.mp3
Presents to Send You,02:43.343,Jimmy Buffett,A-1-A,4,,,Rock/Pop,file:///Volumes/Passport3T/iTunes%20Folder/Music/Jimmy%20Buffett/A-1-A/04%20Presents%20to%20Send%20You.mp3
Stories We Could Tell,03:21.874,Jimmy Buffett,A-1-A,5,,,Rock/Pop,file:///Volumes/Passport3T/iTunes%20Folder/Music/Jimmy%20Buffett/A-1-A/05%20Stories%20We%20Could%20Tell.mp3
Life Is Just a Tire Swing,03:05.391,Jimmy Buffett,A-1-A,6,,,Rock/Pop,file:///Volumes/Passport3T/iTunes%20Folder/Music/Jimmy%20Buffett/A-1-A/06%20Life%20Is%20Just%20a%20Tire%20Swing.mp3
Migration,04:15.503,Jimmy Buffett,A-1-A,8,,,Rock/Pop,file:///Volumes/Passport3T/iTunes%20Folder/Music/Jimmy%20Buffett/A-1-A/08%20Migration.mp3
Trying to Reason With Hurricane Season,04:23.549,Jimmy Buffett,A-1-A,9,,,Rock/Pop,file:///Volumes/Passport3T/iTunes%20Folder/Music/Jimmy%20Buffett/A-1-A/09%20Trying%20to%20Reason%20With%20Hurricane%20Season.mp3
Nautical Wheelers,03:37.808,Jimmy Buffett,A-1-A,10,,,Rock/Pop,file:///Volumes/Passport3T/iTunes%20Folder/Music/Jimmy%20Buffett/A-1-A/10%20Nautical%20Wheelers.mp3
Tin Cup Chalice,03:39.428,Jimmy Buffett,A-1-A,11,,,Rock/Pop,file:///Volumes/Passport3T/iTunes%20Folder/Music/Jimmy%20Buffett/A-1-A/11%20Tin%20Cup%20Chalice.mp3
